LFQ intensity 1_14012022_20220114150835	LFQ intensity 2_14012022	LFQ intensity 3_14012022	LFQ intensity 4_14012022	LFQ intensity 5_14012022	LFQ intensity 6_14012022	LFQ intensity 7_14012022	LFQ intensity 8_14012022	LFQ intensity 9_14012022	LFQ intensity 10_14012022	LFQ intensity 11_14012022	LFQ intensity 12_14012022	LFQ intensity 13_14012022	LFQ intensity 14_14012022	LFQ intensity 15_14012022	LFQ intensity 16_14012022	LFQ intensity 17_14012022	LFQ intensity 18_14012022	LFQ intensity 19_14012022	LFQ intensity 20_14012022	LFQ intensity 21_14012022	LFQ intensity 22_14012022	LFQ intensity 23_14012022	LFQ intensity 24_14012022	LFQ intensity 25_14012022	LFQ intensity 26_14012022	LFQ intensity 27_14012022	LFQ intensity 28_14012022_20220119082438	LFQ intensity 29_14012022_20220119110854	LFQ intensity 30_14012022_20220119135302	LFQ intensity 31_14012022_20220119163708	LFQ intensity 32_14012022_20220119192113	LFQ intensity 33_14012022_20220119220519	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				2	2	2	0.9	0.9	0.9	395.27	0.0037037	3.8274	29048000	4	A0A087WYA1;Q9UKN7	A0A087WYA1;Q9UKN7	Unconventional myosin-XV	MYO15A	9
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				1	1	1	16.2	16.2	16.2	10.739	0	5.4562	3722900	4	M0R0Y6;M0QYQ7;M0R0N3;M0R019;M0R2T0;A0A087X0X3;P52272	M0R0Y6;M0QYQ7;M0R0N3;M0R019;M0R2T0;A0A087X0X3;P52272	Heterogeneous nuclear ribonucleoprotein M	HNRNPM	10
21.236255645752	20.5424575805664	NaN	20.7131385803223	20.5808620452881	19.937328338623	20.5031967163086	20.1947231292725	20.9869022369385	20.8029384613037	20.9529056549072	20.3237762451172	20.1480541229248	20.0747013092041	21.077507019043	20.2944583892822	19.6108665466309	20.2470188140869	NaN	NaN	21.181619644165	20.4244976043701	20.0141353607178	21.2068138122559	20.4651317596436	22.6090545654297	20.2078857421875	22.9083728790283	20.412971496582	20.6238174438477	19.8237342834473	21.0935859680176	20.71044921875				5	5	5	29.3	29.3	29.3	25.402	0	20.258	190150000	93	A0A087X1J7;P22352;H0YBE4;E5RG32;H0YC19	A0A087X1J7;P22352	Glutathione peroxidase;Glutathione peroxidase 3	GPX3	11
NaN	20.1984443664551	NaN	19.9771518707275	19.5005531311035	20.2773056030273	20.4130744934082	20.4482898712158	20.385534286499	21.0338230133057	19.5482273101807	20.1570911407471	21.0186920166016	20.2365474700928	NaN	19.7819519042969	20.8686866760254	20.6435928344727	NaN	NaN	NaN	20.2662506103516	21.9553565979004	19.7727375030518	20.7645797729492	NaN	20.558895111084	18.7618885040283	20.4023914337158	20.2677383422852	21.1115894317627	19.740291595459	20.4350185394287				12	12	12	27.4	27.4	27.4	75.905	0	111.42	214570000	132	A0A087X232;P09871;F8WCZ6;H0Y5D1;F5H7T4;B5MCV4	A0A087X232;P09871;F8WCZ6	Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain	C1S	12
25.9293117523193	26.016185760498	23.2195129394531	24.3466510772705	25.8591327667236	24.0534954071045	23.3042411804199	24.2508983612061	25.4111881256104	24.4939937591553	26.1772346496582	25.6919498443604	26.3655967712402	27.0462474822998	27.4450588226318	26.0042324066162	25.2750473022461	25.6783924102783	25.4429092407227	26.1481590270996	25.6709041595459	24.6884841918945	23.3071632385254	26.7845668792725	24.3705940246582	26.4788341522217	24.0152072906494	27.3968906402588	23.4563846588135	22.7622089385986	22.3727340698242	24.8711719512939	21.8478927612305				10	10	8	44.7	44.7	31.2	23.353	0	323.31	5464900000	530	A0A096LPE2;P35542;A0A3B3ISW8;E9PR14;G3V1D9;P0DJI9	A0A096LPE2;P35542	Serum amyloid A-4 protein	SAA2-SAA4;SAA4	13
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.298469543457	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.4676609039307	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				3	3	3	1.4	1.4	1.4	251.7	0	7.2455	12270000	3	P12259;A0A0A0MRJ7;CON__Q28107	P12259;A0A0A0MRJ7	Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain	F5	14
NaN	NaN	NaN	NaN	20.7558059692383	NaN	NaN	NaN	NaN	NaN	21.5434970855713	NaN	NaN	NaN	21.5558090209961	NaN	NaN	NaN	NaN	25.4870166778564	22.3413944244385	21.4703540802002	NaN	21.1657028198242	NaN	NaN	NaN	21.5833892822266	NaN	NaN	NaN	NaN	NaN	+			1	1	1	1.1	1.1	1.1	124.33	1	-2	244240000	17	B7ZLQ5;A0A0A0MRP6;P28370	B7ZLQ5;A0A0A0MRP6;P28370	Probable global transcription activator SNF2L1	SMARCA1	15
23.7890510559082	24.0675964355469	NaN	24.0947456359863	23.9141521453857	24.1596183776855	24.1226577758789	24.0431003570557	24.0149517059326	24.4490966796875	23.6100921630859	24.7198371887207	23.7538909912109	23.2635612487793	21.2811031341553	23.7968940734863	24.2783832550049	23.9508247375488	20.8715476989746	21.1797389984131	20.5069770812988	23.5688304901123	24.7476558685303	23.6050109863281	23.6531600952148	21.3334178924561	23.9798049926758	22.1891822814941	23.6731433868408	23.7078838348389	24.1689033508301	23.3345642089844	23.6999645233154				14	14	7	54.2	54.2	30.3	36.105	0	323.31	2612800000	418	P01857;A0A0A0MS08;A0A0A0MS07	P01857;A0A0A0MS08;A0A0A0MS07	Ig gamma-1 chain C region	IGHG1	16
20.7464065551758	20.7487010955811	NaN	21.1082744598389	20.6005954742432	19.9050998687744	20.3926773071289	21.0842056274414	20.7366962432861	21.0502605438232	NaN	20.3980121612549	20.5859127044678	20.6129722595215	20.124267578125	20.5997791290283	20.0256690979004	20.9695129394531	NaN	NaN	NaN	20.4325752258301	21.1937007904053	21.0677604675293	20.175968170166	NaN	20.641300201416	NaN	19.9810600280762	NaN	20.2063369750977	20.5952320098877	19.3500709533691				7	7	7	31.6	31.6	31.6	24.03	0	69.72	163290000	84	A0A0A0MSV6;D6R934;P02746;D6RGJ1	A0A0A0MSV6;D6R934;P02746	Complement C1q subcomponent subunit B	C1QB	17
19.5213508605957	19.7164249420166	NaN	19.6359272003174	19.7763080596924	19.0564517974854	19.2829704284668	19.5229034423828	19.9989318847656	20.3994731903076	20.318489074707	20.6570053100586	21.230110168457	21.3477592468262	21.0835571289063	22.0625648498535	21.1794357299805	21.5867366790771	NaN	NaN	NaN	19.7622947692871	20.2725296020508	20.2933368682861	20.1043128967285	NaN	19.7075214385986	19.2896728515625	19.7109870910645	20.0500602722168	20.1423320770264	21.525447845459	20.6693420410156				19	19	19	35.8	35.8	35.8	54.611	0	88.516	342390000	176	A0A0A0MTH3;Q13418;A0A087WWY6;E9PQ52;A0A087WW45	A0A0A0MTH3;Q13418	Integrin-linked protein kinase	ILK	18
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				1	1	1	9.7	9.7	9.7	13.057	0.0039841	4.698	8480000	19	F8WDD7;H7C0A3;F8WCF6;A0A0A6YYG9;P59998	F8WDD7;H7C0A3;F8WCF6;A0A0A6YYG9;P59998	Actin-related protein 2/3 complex subunit 4	ARPC4;ARPC4-TTLL3	19
18.0920238494873	NaN	NaN	18.2447910308838	17.9304714202881	17.7610454559326	17.8414421081543	NaN	NaN	NaN	NaN	18.6598987579346	NaN	NaN	NaN	18.9488639831543	19.693058013916	19.3634166717529	NaN	NaN	NaN	18.198637008667	18.9304141998291	18.4818382263184	18.7568168640137	NaN	19.5137977600098	NaN	19.1054630279541	19.1705265045166	19.5486602783203	18.7261047363281	19.1039276123047				4	4	1	39.3	39.3	12.8	12.839	0	15.528	25073000	41	A0A0B4J1X5;A0A0C4DH42;P0DP02;P01767;P01772;A0A075B7E8;A0A075B7B8	A0A0B4J1X5;A0A0C4DH42;P0DP02;P01767;P01772	Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL	IGHV3-74;IGHV3-66	20
22.0130786895752	21.7487010955811	NaN	21.4784259796143	21.2759418487549	21.1989841461182	21.6545581817627	21.0803718566895	22.0695629119873	21.2903594970703	21.3882694244385	21.9825572967529	NaN	20.8158149719238	NaN	20.842378616333	20.6163864135742	21.3931503295898	NaN	NaN	NaN	21.6484279632568	NaN	22.324764251709	21.0507926940918	22.0332527160645	18.5602207183838	22.3406066894531	21.3477058410645	NaN	20.2258796691895	21.7051429748535	20.2628154754639				9	4	4	40.5	20.5	20.5	23.15	0	35.322	186380000	135	A0A0B4J231;B9A064;A0A5H1ZRQ4;P0CG04	A0A0B4J231;B9A064;A0A5H1ZRQ4;P0CG04	Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions	IGLL5;IGLC1	21
20.287712097168	20.6707248687744	NaN	NaN	20.3455963134766	20.5962333679199	20.8328304290771	20.8044376373291	20.5021286010742	21.0020275115967	20.6085586547852	21.5923137664795	21.6539916992188	21.0349655151367	19.8554706573486	21.4216766357422	21.8676319122314	21.6525478363037	NaN	NaN	NaN	20.209077835083	21.4148292541504	20.5669059753418	21.4679203033447	NaN	20.2863597869873	NaN	21.1043758392334	21.1150875091553	21.6187191009521	20.2402782440186	20.8327541351318				3	2	1	40.6	31.2	19.8	10.429	0	323.31	137460000	90	S4R460;A0A0B4J2B5;A0A4W8ZXM2	S4R460;A0A0B4J2B5		IGHV3OR16-9	22
NaN	19.4710998535156	NaN	20.4583377838135	19.7691249847412	20.71506690979	20.2646484375	19.6711578369141	NaN	19.5489807128906	20.6281852722168	20.5211410522461	21.2840442657471	21.0010643005371	22.3788566589355	21.2168521881104	20.4870910644531	21.8546028137207	NaN	NaN	21.2754306793213	NaN	NaN	20.0012702941895	20.0195751190186	20.9645862579346	NaN	NaN	18.5884590148926	NaN	NaN	NaN	NaN				4	4	4	37.4	37.4	37.4	15.958	0	186.86	75142000	37	K7EM73;A0A0C4DGQ5;P04632;K7EIV0;A0A075B7C0;K7ELJ7;U3KQE2;K7EKD8;K7ES78;K7EMQ1;U3KPR7	K7EM73;A0A0C4DGQ5;P04632;K7EIV0;A0A075B7C0;K7ELJ7;U3KQE2;K7EKD8	Calpain small subunit 1	CAPNS1	23
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				1	1	1	13.7	13.7	13.7	12.645	0.0069444	3.4279	6595800	16	A0A0C4DH73;A0A0C4DH72;P04432;P01611;P01597	A0A0C4DH73;A0A0C4DH72;P04432;P01611;P01597	Ig kappa chain V-I region Daudi;Ig kappa chain V-I region Wes;Ig kappa chain V-I region DEE	IGKV1-12;IGKV1-6	24
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.1349067687988	17.9429492950439	18.4900913238525	NaN	19.9463520050049	18.5158004760742	17.896463394165	NaN	18.2327117919922	17.8745365142822				3	3	3	10.4	10.4	10.4	40.813	0	10.309	7594800	10	O78179;A0A140T937;Q5SUL5;A0A1W2PSE7;D9J307;A0A140T912;A0A1W2PQD0;A0A1W2PS24;A0A1W2PRZ0;A0A0G2JI36;A0A0G2JIF2;Q5SRN5;P04439;A0A0G2JL56;Q5SRN7;A0A140T930;A0A140T9G0;A0A140T9Z6;A0A1W2PR11;A0A140T9A9;A0A1W2PR61;A0A1W2PQS8;Q9GJ45;A0A140T8X0;A0A140T9V0;A0A140T9B3;A0A1W2PPQ2;A0A1W2PS39;A0A140T9X6;A0A140TA13;A0A140T975;D0EV57;A0A0G2JPA3;A0A140T962;A0A1W2PRT9;A0A1W2PPF8;Q2L6G2;B0UXQ0;Q5SPM2;Q5RJ27;Q53Z42;A0A140T9I0;A0A140T939;A0A140T9D9;A0A140T933;A0A140T8Y4;A0A0G2JPD3;A0A1W2PP77;A0A1W2PRX1;A0A140T9J9;A0A140T953;A0A0G2JH66;A0A140T941;D5H3J5;A0A140T8W8;A0A140T9C2;A0A140T9W7;A0A140T9H3;A0A140T913;A0A140T9B7;A0A140T955;A0A140T9W3;Q5QT33;P01893;A0A140T9X5;A0A140T9M5;A0A140T9U8;A0A140T921;A0A0G2JH50;O19617;A0A140T9U0;A0A140T9M0;A2BF26;A0A140T9H5;A2AEA2;A0A0G2JIF0;A0A140T9Z4;A0A0G2JNX1;Q5RIP0;Q5SS57;A0A0G2JNV5;A0A140TA14;A0A140TA05;A0A140TA11;A0A140T951;A0A140T9J8;A0A1W2PNZ7;A0A1W2PS56;A0A140T9Y5;A0A140T997;A0A140T942;Q8MH48;P30511;P13747;P01889;P10321;A0A140T9L3;Q31611;A0A140T9E1;A0A140T9S9;Q53YP1;Q5RJ85;A0A0G2JPQ3;A0A140T9W2;S6AU73;P17693	O78179;A0A140T937;Q5SUL5;A0A1W2PSE7;D9J307;A0A140T912;A0A1W2PQD0;A0A1W2PS24;A0A1W2PRZ0;A0A0G2JI36;A0A0G2JIF2;Q5SRN5;P04439;A0A0G2JL56;Q5SRN7;A0A140T930;A0A140T9G0;A0A140T9Z6;A0A1W2PR11;A0A140T9A9;A0A1W2PR61;A0A1W2PQS8;Q9GJ45;A0A140T8X0;A0A140T9V0;A0A140T9B3;A0A1W2PPQ2;A0A1W2PS39;A0A140T9X6;A0A140TA13;A0A140T975;D0EV57;A0A0G2JPA3;A0A140T962;A0A1W2PRT9;A0A1W2PPF8;Q2L6G2;B0UXQ0;Q5SPM2;Q5RJ27;Q53Z42;A0A140T9I0;A0A140T939;A0A140T9D9;A0A140T933;A0A140T8Y4;A0A0G2JPD3;A0A1W2PP77;A0A1W2PRX1;A0A140T9J9;A0A140T953;A0A0G2JH66;A0A140T941;D5H3J5;A0A140T8W8;A0A140T9C2;A0A140T9W7;A0A140T9H3;A0A140T913;A0A140T9B7;A0A140T955;A0A140T9W3;Q5QT33;P01893;A0A140T9X5;A0A140T9M5	HLA class I histocompatibility antigen, A-3 alpha chain;Putative HLA class I histocompatibility antigen, alpha chain H	HLA-C;HLA-A;HLA-B;HLA-F;HLA-H	25
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				9	1	1	33.2	4.4	4.4	36.508	0	10.185	4027700	6	A0A0G2JMB2;A0A286YEY5;P01877	A0A0G2JMB2;A0A286YEY5;P01877	Ig alpha-2 chain C region	IGHA2	26
20.4565353393555	20.4269561767578	NaN	20.3826866149902	20.4632377624512	20.3083038330078	21.0816078186035	21.2041301727295	20.0800476074219	21.4623889923096	20.4561328887939	20.4597396850586	20.7182483673096	20.7477169036865	NaN	20.441822052002	21.6904678344727	20.6365299224854	NaN	NaN	NaN	19.848258972168	21.7053546905518	19.9079170227051	21.2058601379395	19.1918106079102	20.4373569488525	20.0458030700684	21.0111351013184	20.7323131561279	21.846248626709	18.7219409942627	20.3842697143555				69	4	0	44.1	3.7	0	192.87	0	61.516	157770000	83	A0A0G2JPR0;P0C0L4;A0A140TA49;A0A140TA32;CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	A0A0G2JPR0;P0C0L4;A0A140TA49;A0A140TA32	Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain	C4A	27
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				2	1	1	18.8	9.4	9.4	12.947	0.0040816	5.2735	4349800	18	P0DP03;A0A0J9YY99;P01768;P01764	P0DP03;A0A0J9YY99;P01768;P01764	Ig heavy chain V-III region CAM;Ig heavy chain V-III region 23	IGHV3-23	28
NaN	18.7695598602295	NaN	19.0972557067871	18.2080535888672	NaN	18.9626541137695	18.4001197814941	18.8030967712402	NaN	NaN	18.5401878356934	NaN	18.5445728302002	19.0162048339844	NaN	18.531343460083	NaN	NaN	NaN	20.4854202270508	19.2404651641846	19.6579113006592	19.154125213623	20.4546279907227	19.4947471618652	NaN	19.8366107940674	20.5412292480469	18.7249069213867	19.025857925415	NaN	18.867073059082			+	1	1	1	14.1	14.1	14.1	15.421	0	15.395	27473000	33	H0Y8D1;A6XMV8;CON__P07477;A0A0J9YYC8;E7EQ64;A6XMV9;Q8NHM4;P07478;P07477	H0Y8D1;A6XMV8;CON__P07477;A0A0J9YYC8;E7EQ64;A6XMV9;Q8NHM4;P07478;P07477	Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2	PRSS1;PRSS3P2;PRSS2	29
18.7321472167969	20.4424285888672	NaN	19.5686130523682	21.1691932678223	20.869815826416	20.7351264953613	21.3931503295898	20.03684425354	19.0315780639648	NaN	19.0389881134033	20.3464622497559	19.2935161590576	NaN	18.4535446166992	21.1695613861084	19.5735950469971	NaN	NaN	NaN	19.9835662841797	19.8840217590332	18.6685810089111	20.2783260345459	19.8723735809326	21.9029750823975	NaN	20.7839660644531	20.2166748046875	20.5003795623779	18.9851245880127	20.956880569458				19	19	19	37.8	37.8	37.8	73.757	0	195.09	311810000	158	A0A3B3ISJ1;A0A0S2Z4L3;P07225;G5E9F8;A0A3B3IRK9;A0A3B3IUA6;CON__P07224	A0A3B3ISJ1;A0A0S2Z4L3;P07225;G5E9F8;A0A3B3IRK9	Vitamin K-dependent protein S	PROS1	30
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				2	2	2	21.5	21.5	21.5	14.135	0	323.31	7472000	16	P04908;P0C0S8;A0A0U1RR32;A0A0U1RRH7;Q96KK5;Q9BTM1;Q16777;P20671;Q93077;Q7L7L0;Q6FI13;Q99878;Q8IUE6;Q71UI9;C9J0D1;Q96QV6;P0C0S5;A0A494C189;A0A3B3IS11;P16104;H0YFX9	P04908;P0C0S8;A0A0U1RR32;A0A0U1RRH7;Q96KK5;Q9BTM1;Q16777;P20671;Q93077;Q7L7L0;Q6FI13;Q99878;Q8IUE6;Q71UI9;C9J0D1;Q96QV6;P0C0S5;A0A494C189;A0A3B3IS11;P16104;H0YFX9	Histone H2A type 1-B/E;Histone H2A type 1;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-D;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 2-A;Histone H2A type 1-J;Histone H2A type 2-B;Histone H2A.V;Histone H2A;Histone H2A type 1-A;Histone H2A.Z;Histone H2AX	HIST1H2AB;HIST1H2AG;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AD;HIST1H2AC;HIST3H2A;HIST2H2AA3;HIST1H2AJ;HIST2H2AB;H2AFV;HIST1H2AA;H2AFZ;H2AFX	31
